Site,Species,Phase,Date,End,SL,Harem
AQ,Scvetula,IP,6/27/2021,134934.gpx,21,
AQ,Scvetula,NTP,6/9/2021,132345.gpx,31,1
AQ,Scvetula,TP,6/8/2021,113800.gpx,33,2
AQ,Scvetula,TP,6/8/2021,120514.gpx,33,2
AQ,Scvetula,TP,6/8/2021,123209.gpx,32,2
AQ,Scvetula,TP,6/8/2021,143112.gpx,32,2
AQ,Scvetula,TP,6/8/2021,145549.gpx,33,2
AQ,Scvetula,TP,6/8/2021,152401.gpx,32,3
AQ,Scvetula,TP,6/9/2021,135108.gpx,32,3
AQ,Scvetula,TP,6/9/2021,142348.gpx,32,3
